ds100,lat,lon
AFW,54.75848402,9.39789295
AFR,54.77024153,9.39244801
AXFW,54.81523173,9.36288704
AF,54.7739873,9.43598426
AFS,54.76332888,9.44493623
AOR,54.50248278,9.22635174
AHM,54.47231461,9.05489896
AKRH,54.33087847,10.08328685
ASU,54.3490387,10.09076172
ANW,54.37075068,10.02877396
AGF,54.40987554,9.97864485
AEC,54.46789424,9.83476629
ARY,54.54179484,9.82043249
ASUE,54.63670267,9.77121319
ASOE,54.71683049,9.66929042
AY,54.76443542,9.57508781
AK,54.31489643,10.13133244
AKH,54.30866143,10.09990379
AKRU,54.31007883,10.07022119
AME,54.31278646,10.03060365
AACW,54.31504484,9.96410269
AFEB,54.30985996,9.9473365
ABRB,54.31506924,9.86704583
ASC,54.2987599,9.74728795
AONA,54.28148753,9.72444814
AON,54.2833738,9.71982705
AKSS,54.29586389,10.14414528
AKEW,54.29550203,10.14532014
AKE,54.28720888,10.17993938
ARSW,54.28397263,10.22306962
ARS,54.28107051,10.24350727
APZ,54.23415938,10.27566527
AAG,54.14859774,10.33983064
APLN,54.15947367,10.42248758
AMAG,54.1673798,10.55061923
AEU,54.13560109,10.60969035
ANN,54.09565558,10.79477921
ANT,54.10384262,10.80788866
AMR,54.28528183,10.10816197
AMRO,54.29250297,10.13435623
AN,54.07636748,9.97982545
ANF,54.16664245,9.85250407
ARHB,54.28473542,9.69843752
AR,54.30272527,9.67048638
AOS,54.39274159,9.59037718
ASW,54.49989083,9.53734559
ASY,54.52166949,9.47588902
AJ,54.5596885,9.40364319
ATP,54.66488061,9.39845952
ANSW,54.08344265,9.96275315
AWA,54.07558283,9.89762987
AAU,54.08242831,9.78580253
AHWT,54.08673988,9.65335043
AODT,54.10239199,9.57466022
ABGS,54.11362252,9.53799237
AGK,54.11908578,9.46858153
AHNU,54.12281301,9.41509661
ABE,54.12518062,9.35558198
AAL,54.14602758,9.29280119
ANH,54.16894245,9.1804038
AHI,54.19424192,9.1010042
ANMG,54.07075754,9.97673628
ANSG,54.04985329,10.00264691
AKD,54.02195718,10.05740495
ARL,53.99907319,10.16823325
AWAH,53.96126448,10.22953413
AFK,53.94393254,10.25309687
ASB,53.93399581,10.30778887
AAT,53.89895284,10.35525291
AWK,53.8664153,10.36563233
AFN,53.84204859,10.39070465
AO,53.80533924,10.38244755
AL,53.86789467,10.66942723
AWR,53.90641539,10.69240067
ASCH,53.91634534,10.70272938
ASCA,53.91966619,10.70639545
ARAT,53.94982463,10.74328048
ATIM,53.9943607,10.7621749
ASAZ,54.01877078,10.74563156
AHAF,54.05415554,10.74240394
ASID,54.06849141,10.7686444
AHSG,54.13901952,10.82331948
AGR,54.16402028,10.86369084
ABDF,54.19260408,10.87559852
ALS,54.2201289,10.89058899
AGHI,54.23895865,10.88712641
AOL,54.28396039,10.8826418
AGOE,54.28764008,10.94171537
ANEK,54.32570681,11.03025783
AGRO,54.36647154,11.08114462
ASTK,54.42427441,11.13145199
ABUW,54.45033292,11.18080135
APU,54.50087278,11.22745176
ABUG,54.4470587,11.18609275
APN,54.04654706,10.67100035
APF,53.98096098,10.70305438
ALD,53.91137891,10.73766326
ALKN,53.91719298,10.80220098
ALKR,53.92450637,10.81806171
ALTK,53.95098073,10.85387144
ALTH,53.95888669,10.86650703
ALTS,53.96505655,10.87603335
ALRA,53.85013677,10.65555431
ALN,53.83511158,10.61256729
ARD,53.83050242,10.49429561
AKUP,53.76242408,10.32672388
ABAE,53.72818684,10.26900058
AAHG,53.68905399,10.2518443
AAHN,53.6856544,10.25042188
AAHR,53.66931954,10.23618111
ARAL,53.60482284,10.15421471
AOW,53.58729407,10.12447938
AWN,53.56997307,10.07708953
AHSF,53.56477517,10.05639495
AHBT,53.55778064,10.02944042
AH,53.5535773,10.00650182
ALHS,53.83054135,10.68893948
ALB,53.80497229,10.69714209
APOF,53.7540526,10.72756789
ARF,53.6983243,10.74055891
AMLN,53.62447604,10.68300464
AGUE,53.53790212,10.65666946
ASTR,53.84243299,10.69712707
ALSJ,53.84233443,10.70344224
WHB,53.83771803,10.75978046
WLF,53.83295042,10.81514671
WSBG,53.8536738,10.92840386
WMEF,53.84812193,11.01279261
WGBN,53.85131391,11.06859907
WGV,53.85737104,11.18437182
WPSW,53.83711048,11.2860104
WBO,53.80461773,11.36278363
WK,53.76674595,11.46663175
WVE,53.78719991,11.57991664
WBL,53.77224988,11.71509879
WWRN,53.78901379,11.87185441
WB,53.83738062,11.99855709
WSWF,53.83093689,12.08805244
WG  G,53.80533955,12.16388097
WG,53.80073151,12.17244564
WPI,53.79603366,12.222939
WPWS,53.78908968,12.24417684
WLD,53.75501634,12.38631546
WNWO,53.76000668,12.50084295
WTE,53.76840606,12.57815313
WHMT,53.77214285,12.66454049
WMA,53.74339475,12.76108327
WSRP,53.71967151,12.83864157
WRST,53.70691558,12.91397161
WGRO,53.68328843,12.99954071
WKLE,53.62316794,13.06042745
WMOE,53.58594438,13.08444178
WBLH,53.56947682,13.13628183
WN,53.56201301,13.26180611
WN  G,53.56081679,13.27197724
WSP,53.56388231,13.3662641
WRUE,53.54719258,13.45772353
WNA,53.53353043,13.50076143
WOE,53.51804111,13.57315277
WKRE,53.50687185,13.63549264
WGDW,53.50609721,13.65106782
WLAH,53.51790389,13.68453102
ALR,53.85559344,10.65504652
ABRM,53.85309253,10.74416736
ALRT,53.87767824,10.77219748
ALSC,53.88581594,10.79529645
ALBG,53.24975585,10.41989698
AADF,53.28245086,10.45432227
AECH,53.33702445,10.53712459
ALAU,53.36938795,10.56733093
ADA,53.42762954,10.60995936
ABCH,53.47518977,10.62263059
ADB,53.10503675,11.1182565
AHZ,53.13922757,11.03830796
ALE,53.16918119,10.91266761
AGH,53.16787917,10.85182986
ANEZ,53.16376322,10.76052883
ADL,53.16934613,10.70872333
ABF,53.18752848,10.62946935
AVF,53.19914297,10.55558653
AWE,53.21763697,10.46262792
ABAW,53.29065116,10.37117488
ARH,53.31729177,10.29123851
AWI,53.35398229,10.20702873
AASN,53.36859425,10.14559143
ANB,54.7895483,8.83487386
ANBG,54.79237417,8.83470861
AHOE,54.43560289,9.06388373
AWRT,54.3857232,8.99802022
AHA,54.36187398,8.96238101
ATG,54.31407293,8.93747416
AKTO,54.32610225,8.87171991
AKAD,54.33412955,8.83019384
AGD,54.32711528,8.7843955
ASDW,54.32571137,8.75859138
ATAT,54.32281355,8.70918532
APSD,54.30502416,8.64810373
APO,54.3174465,8.6143421
ATB,54.21944631,9.01903867
AJHH,54.21212645,8.96315211
AWBU,54.20722649,8.9331047
ASDD,54.19867577,8.91144323
ARE,54.18078679,8.90595038
ABSM,54.13384728,8.86704698
AEL,53.75520877,9.65876978
AHZH,53.78357817,9.48410049
AGST,53.78844865,9.42847031
AKM,53.83403439,9.4816861
AKHD,53.8815335,9.48019596
AALA,53.9098114,9.50393069
AIZ,53.92396475,9.51015687
AWIR,53.9262949,9.38301407
AHOD,54.0140134,9.32130283
ABR,54.00795554,9.24917932
ASD,53.99003479,9.11762651
AMFU,54.08078949,9.07917658
AMF,54.08751188,9.07995941
AHE,54.15174958,9.08812089
ALU,54.33113847,9.03069343
AEBR,54.36177341,9.07041731
AFD,54.37817191,9.07898045
AHDT,54.53404852,9.01935707
ABST,54.62142212,8.96990463
ALG,54.6865885,8.94606816
ASDS,54.73741441,8.91804982
ALH,54.7577809,8.86999728
ALHG,54.82203995,8.75308871
AKX,54.86182889,8.67678164
AMM,54.8722192,8.43242226
AKI,54.88879485,8.36888049
AWLA,54.90763719,8.30987534
ASM,53.92065966,9.24960887
AKUD,53.92037599,9.21848542
ABK,53.89836124,9.15973009
AA,53.55257899,9.93459566
ALA,53.58169333,9.92422843
ALAA,53.5867292,9.92037053
AP,53.65527933,9.79730264
APD,53.67516515,9.76044113
ATM,53.69733908,9.71487246
AHOT,53.80430998,9.64513001
ADH,53.85261785,9.68068515
AWST,53.93188878,9.74763578
ABRS,53.98984351,9.82318083
AEF,54.12937311,9.99782859
ABRD,54.17441303,10.0437255
AFT,54.24369427,10.06312432
ABAH,53.56004304,9.91557208
ABAF,53.56006244,9.90988399
AOH,53.55927977,9.88681817
AFB,53.55819785,9.86053143
AHPS,53.56133073,9.84213378
AB,53.56413053,9.81372857
AHSO,53.56219615,9.94808345
AHSH,53.56323689,9.94091407
ADT,53.5690245,9.93416088
ALST,53.57967328,9.93085061
ASTS,53.58971209,9.91825581
AEST,53.59631171,9.90597221
AEGS,53.60293984,9.89274671
AKRS,53.61607227,9.86729364
ABB,53.62304164,9.85364306
AHKS,53.63005118,9.8398458
ATHS,53.64452991,9.81363712
APS,53.65505359,9.79806961
AIS,53.5761354,9.81505397
ASDF,53.58117723,9.7969924
ARIU,53.58250171,9.76296505
ARI,53.58325317,9.75699105
AROW,53.58514158,9.72396105
AWL,53.58185629,9.70480757
AAR,53.56298435,9.94175541
AE,53.60827423,9.8817201
ALOF,53.60283626,9.97264506
ABAG,53.60037735,10.03441971
AHOR,53.56195027,10.06504919
AAI,53.63271616,10.00664692
ADST,53.56093801,9.98966044
ASST,53.56382629,9.9657725
AHST,53.56173037,9.9501266
AHS,53.55289738,10.00802059
ABTSL,53.55299884,10.02457591
ALAN,53.56085651,10.03706034
AHSB,53.5648617,10.05643778
AWCH,53.57012686,10.05973388
AFBG,53.57619686,10.05738748
ABAP,53.58724112,10.04579692
AAW,53.59764491,10.03544731
ARP,53.60678411,10.03282927
AOPS,53.62107201,10.03171031
AKWS,53.63231716,10.05358311
AHCH,53.6353838,10.06722171
AWBS,53.64159533,10.08328769
APB,53.65186911,10.09380677
ABTSB,53.55263346,10.02492677
AROP,53.53829617,10.0443793
ATK,53.53079888,10.0664072
ABWM,53.5155272,10.09701921
ABS,53.50731544,10.11311411
AML,53.49833461,10.13055872
AALH,53.49036857,10.15859384
ANTB,53.4879227,10.18120666
ABG,53.4898693,10.20617378
ARBK,53.5080305,10.25190725
AWLF,53.52067991,10.27803785
AAH,53.53004764,10.31461282
AVLG,53.52615777,10.01615069
AVL,53.5264122,10.01644351
AOHA,53.53497329,10.02449951
AERI,53.54143547,10.00881225
AHB,53.46532427,9.97794948
AHO,53.47229507,9.96091196
ASE,53.47944986,10.00119017
ASEG,53.48262568,9.99856223
AWLG,53.48266065,9.99855603
AMD,53.42146818,10.03339161
AHAR,53.45606705,9.99085078
AWLB,53.49829462,10.00543792
AHDG,53.5173334,10.01014842
ASTG,53.59246013,9.48945666
ACVG,53.84638748,8.7304217
ABXG,53.47150295,9.67895342
AJUS,53.55231805,9.99387139
ASHS,53.54951063,9.984312
ALAS,53.54632062,9.97054244
ARES,53.54967611,9.95734293
AKS,53.54786418,9.9439742
AAS,53.55123257,9.93449991
AHAB,53.54646137,10.02363361
